#num nodes;num edge;num observation
6;5;320
#node_id::int;X::double;Yi_filename::double;Z::double;is_in_intersection::int
2661;1996.06866715267;20758.9369077051;0;1
2662;1932.49999998707;20859.6999984745;0;1
1000346;2003.20677483166;20776.338851136;0;0
1000359;2000.50300070975;20752.715874403;0;0
1001976;1941.99999998709;20871.7999984752;0;0
1001977;1940.29999998716;20866.8999984777;0;0
#edge_id::int;start_node::int;end_node::int;width::double
1010040;1000359;2661;9
1006076;1001977;2662;4
2506;2661;2662;4
1006485;2661;1000346;4
1006075;1001976;1001977;4
#obs_id::int;edge_id::int;X::double;Y::double;Z::double;confidence::double;weight::double
14305;2506;1962.47534510334;20806.656894809;0;1;1.00000
14306;2506;1963.00738978807;20805.8101785326;0;1;1.00000
14307;2506;1963.53943447285;20804.963462257;0;1;1.00000
14308;2506;1964.07147915757;20804.1167459775;0;1;1.00000
14309;2506;1964.60352384233;20803.2700297015;0;1;1.00000
14310;2506;1965.13556852708;20802.423313424;0;1;1.00000
14311;2506;1965.66761321181;20801.5765971463;0;1;1.00000
14312;2506;1966.19965789656;20800.7298808706;0;1;1.00000
14313;2506;1966.7317025813;20799.8831645926;0;1;1.00000
14314;2506;1967.26374726606;20799.0364483174;0;1;1.00000
14315;2506;1967.79579195082;20798.1897320399;0;1;1.00000
14316;2506;1968.32783663555;20797.343015763;0;1;1.00000
14317;2506;1968.85988132032;20796.4962994866;0;1;1.00000
14318;2506;1969.39192600506;20795.6495832108;0;1;1.00000
14319;2506;1969.92397068977;20794.8028669314;0;1;1.00000
14320;2506;1970.45601537455;20793.9561506546;0;1;1.00000
14321;2506;1970.9880600593;20793.1094343791;0;1;1.00000
14322;2506;1971.52010474406;20792.2627181028;0;1;1.00000
14323;2506;1972.0521494288;20791.4160018257;0;1;1.00000
14324;2506;1972.58419411353;20790.5692855476;0;1;1.00000
14325;2506;1973.11623879826;20789.722569271;0;1;1.00000
14326;2506;1973.64828348304;20788.8758529956;0;1;1.00000
14327;2506;1974.18032816777;20788.0291367178;0;1;1.00000
14328;2506;1974.71237285252;20787.1824204422;0;1;1.00000
14329;2506;1975.24441753727;20786.3357041635;0;1;1.00000
14330;2506;1975.77646222199;20785.4889878869;0;1;1.00000
14331;2506;1976.30850690677;20784.64227161;0;1;1.00000
14332;2506;1976.84055159152;20783.7955553338;0;1;1.00000
14333;2506;1977.37259627625;20782.9488390546;0;1;1.00000
14334;2506;1977.904640961;20782.1021227796;0;1;1.00000
14335;2506;1978.43668564575;20781.2554065016;0;1;1.00000
14336;2506;1978.96873033049;20780.4086902248;0;1;1.00000
14337;2506;1979.50077501526;20779.5619739494;0;1;1.00000
14338;2506;1980.03281969997;20778.7152576716;0;1;1.00000
14339;2506;1980.56486438476;20777.8685413938;0;1;1.00000
14340;2506;1981.09690906947;20777.0218251179;0;1;1.00000
14341;2506;1981.62895375414;20776.1751088412;0;1;1.00000
14342;2506;1982.16099843886;20775.3283925651;0;1;1.00000
14343;2506;1982.69304312349;20774.4816762874;0;1;1.00000
14344;2506;1983.22508780827;20773.6349600124;0;1;0.94981
14345;2506;1983.7037226119;20772.8732422631;0;1;0.44981
16205;2506;1944.03464867141;20848.435907244;0;1;0.50000
16206;2506;1943.49806228979;20849.2797526406;0;1;1.00000
16207;2506;1942.96147590821;20850.1235980398;0;1;1.00000
16208;2506;1942.42488952659;20850.9674434367;0;1;1.00000
16209;2506;1941.88830314497;20851.8112888334;0;1;1.00000
16210;2506;1941.35171676337;20852.6551342304;0;1;1.00000
16211;2506;1940.81513038187;20853.4989796267;0;1;1.00000
16212;2506;1940.27854400038;20854.3428250255;0;1;1.00000
16213;2506;1939.741957619;20855.1866704233;0;1;1.00000
16214;2506;1939.20537123751;20856.0305158202;0;1;1.00000
16215;2506;1938.66878485613;20856.8743612198;0;1;0.68354
16216;2506;1938.47180940667;20857.184128355;0;1;0.33882
16217;2506;1938.19811748097;20857.3308528431;0;1;0.23527
16218;2506;1938.29646281752;20857.4570571615;0;1;0.08000
16219;2506;1943.73082783951;20848.5369772105;0;1;0.04977
